model_name,total_games,wins,avg_turns,win_rate
ydy_1,1,1,4.0,1.0
Track1_Model_20250926_1358,1,1,5.0,1.0
GPT4.1mini_operational_test/Track-1,1,1,4.0,1.0
Funk v0.2,1,1,10.0,1.0
Test_Human_Player,3,3,7.0,1.0
Test_MifiaAgent_llama - Track 1,1,1,1.0,1.0
Track1_Model_20250924_1830,1,1,6.0,1.0
Track1_Model_20250925_1537,1,1,1.0,1.0
Trial,2,2,2.5,1.0
Chinese Mafia Agent v1.15,1,1,5.0,1.0
USTCmafia-test_noe,1,1,6.0,1.0
Vito-k2,1,1,5.0,1.0
azure-gpt-5-chat,1,1,10.0,1.0
baseline,1,1,6.0,1.0
Chinese Mafia Agent v1.6,1,1,5.0,1.0
Chinese Mafia Agent v1.4,1,1,5.0,1.0
T1-Qwen-Mini-Complex-V4,1,1,5.0,1.0
GPT5_Deception_Master_v6,1,1,5.0,1.0
T1-Baseline-Qwen-Akash-V2,1,1,5.0,1.0
Shocklab_Agent_v2,1,1,7.0,1.0
Gemini_Agents,1,1,6.0,1.0
Google AI Studio Mafia Agent v1,1,1,10.0,1.0
Lossfunk v0.0,1,1,5.0,1.0
Qwen3_8b_cccx3,2,2,5.5,1.0
Qwen3_8b_ccc,1,1,5.0,1.0
Qwen3-235B-A22B-Instruct-2507-yt-v2-T1,1,1,4.0,1.0
MindGames_online_pro_mafia_1753747917,1,1,9.0,1.0
MindGames_online_pro_mafia_1753752319,1,1,5.0,1.0
PsychoSkull Test LLM agent - Track 1,1,1,6.0,1.0
PsychSkull-13 Track 1 Open,1,1,4.0,1.0
PsychSkull-11 Track 1 Open,1,1,5.0,1.0
PsychSkull-10 LLM agent - Track 1,1,1,8.0,1.0
Optimised Lucy-v3,1,1,2.0,1.0
Chinese Mafia Agent v1.3,1,1,8.0,1.0
External-azure,1,1,5.0,1.0
martianlanternv2,1,1,5.0,1.0
Baseline: DeepSeek R1 8B - Track 1,1,1,5.0,1.0
jarvis_track_testmodal_ydy,1,1,4.0,1.0
Breaking Bad LLM,1,1,4.0,1.0
martianlantern_gemini_v1,1,1,1.0,1.0
test-gpt4o,2,2,5.0,1.0
Baseline_Gemini_2.5_flash_lite,2,2,4.0,1.0
hehe004.5/qwen-8b,1,1,5.0,1.0
Bot_test,1,1,8.0,1.0
Chinese Mafia Agent v1.1,1,1,1.0,1.0
Chinese Mafia Agent v1.0,1,1,6.0,1.0
0826t1-mg-qwen3-8b-big-dataset-0826-1epochs-yt,1,1,2.0,1.0
jarvis_v01_track_1,1,1,5.0,1.0
jarvis_qwen3-8b-1,12,11,4.083333333333333,0.9166666666666666
tungsten_004,8,7,5.125,0.875
Gemini_sus,6,5,7.333333333333333,0.8333333333333334
RLGame-M-P-03,23,19,4.869565217391305,0.8260869565217391
tungsten_007s,15,12,4.866666666666666,0.8
Vito-ds_v31,5,4,5.6,0.8
External-azurev1,10,8,5.4,0.8
tungsten_005,9,7,7.777777777777778,0.7777777777777778
Gemini_2.5_Flash_with_some_modifies,13,10,6.3076923076923075,0.7692307692307693
Qwen3_8b_cccx8,4,3,4.5,0.75
Qwen3_8b_cccx5,4,3,7.75,0.75
PsychSkull-7 LLM agent - Track 1,4,3,4.75,0.75
Gemini_2.5_Flash_with_some_modifies_3,8,6,6.125,0.75
PsychSkull-16 Track 1 Open,7,5,6.714285714285714,0.7142857142857143
gemini2.5base,17,12,4.9411764705882355,0.7058823529411765
Vito-1.2,10,7,4.4,0.7
Revac,19,13,5.421052631578948,0.6842105263157895
GPT5_Alpha_Leader_v7,31,21,5.161290322580645,0.6774193548387096
Test LLM agent-xsss,3,2,2.6666666666666665,0.6666666666666666
jarvis_track_1_ydy,3,2,5.666666666666667,0.6666666666666666
Qwen3_8b_cccx6,6,4,5.666666666666667,0.6666666666666666
Qwen2.5_7B_Mafia_ccc,3,2,3.0,0.6666666666666666
Breaking Bad LLM agent - Track 1 - Zep7hyr,3,2,3.0,0.6666666666666666
RLGame-M-P-06,9,6,5.222222222222222,0.6666666666666666
RLGame-finetune-v3,3,2,7.666666666666667,0.6666666666666666
test-gpt4o-v6,3,2,5.666666666666667,0.6666666666666666
ZeroR-SecretMafia-Efficient-v4,15,10,6.866666666666666,0.6666666666666666
ZeroR-SecretMafia-v2-test,3,2,6.0,0.6666666666666666
hehe005/qwen-8b,12,8,5.916666666666667,0.6666666666666666
gemini-2.0-flash-lite,15,10,4.8,0.6666666666666666
RLGame-M-P-01,93,61,5.333333333333333,0.6559139784946236
Social Deduction Track v4,26,17,4.923076923076923,0.6538461538461539
gemini-2.5-pro,14,9,6.5,0.6428571428571429
hehe006/qwen-8b,14,9,4.857142857142857,0.6428571428571429
0827t1-gpt5-chat-yt,22,14,5.454545454545454,0.6363636363636364
Oona_Oops_V3,90,57,5.644444444444445,0.6333333333333333
Breaking Bad LLM agent - Track 1 - MiL,8,5,4.625,0.625
jarvis_qwen3_dpo_104,13,8,3.4615384615384617,0.6153846153846154
RobustMafiaAgent-Gemini-2.0-Flash-Lite,13,8,6.538461538461538,0.6153846153846154
jarvis_qwen3-test,5,3,3.2,0.6
hehe004/qwen-8b,10,6,6.9,0.6
openai/gpt-oss-120b,1596,953,5.107142857142857,0.5971177944862155
jarvis_track_1_ydy_test1,19,11,5.105263157894737,0.5789473684210527
Qwen3-235B-A22B-Instruct-2507-yt-v1-T1,19,11,4.2105263157894735,0.5789473684210527
Vito-1.3,19,11,3.210526315789474,0.5789473684210527
Oona_Oops_V2,90,52,5.411111111111111,0.5777777777777777
T1-Base-Gemini-Akash-V2,68,39,5.661764705882353,0.5735294117647058
0827t2-mg-qwen3-8b-big-dataset-0826-1epochs-yt,171,98,5.742690058479532,0.5730994152046783
RLGame-ts-v5,14,8,4.928571428571429,0.5714285714285714
jarvis_qwen3-test1,7,4,4.142857142857143,0.5714285714285714
Fractal_SecretMafia_Agent_v3,7,4,4.428571428571429,0.5714285714285714
hehe005.5/qwen-8b,7,4,4.428571428571429,0.5714285714285714
tungsten_006,14,8,5.928571428571429,0.5714285714285714
RLGame-ts-v1,58,33,4.0344827586206895,0.5689655172413793
Doramamu3,23,13,5.434782608695652,0.5652173913043478
Social Deduction Track v2,55,31,5.2727272727272725,0.5636363636363636
Doramamu2,31,17,4.774193548387097,0.5483870967741935
RLGame-M-P-02,191,104,5.020942408376963,0.5445026178010471
GPT_LLM_TEST,65,35,5.553846153846154,0.5384615384615384
0823t1-Qwen3-8B-yt,83,44,5.27710843373494,0.5301204819277109
Qwen3-235B-A22B-Instruct-2507-yt-v3-T1,582,304,5.121993127147766,0.5223367697594502
oonaoops,276,144,5.510869565217392,0.5217391304347826
moonshotai/kimi-k2,2026,1055,5.245310957551826,0.5207305034550839
Qwen2.5_7B_SecretMafia_SFT,27,14,4.296296296296297,0.5185185185185185
In2AI/Baseline,82,42,5.2926829268292686,0.5121951219512195
martianlanternv4,2,1,7.0,0.5
test-gpt4o-v4,2,1,4.5,0.5
My Closed Source Agent,2,1,2.0,0.5
Team srsk-1729 qwen - Track 1,8,4,5.0,0.5
T1-Improved-Gemini-Akash-V1,4,2,4.5,0.5
0827t2-gpt5-yt,4,2,2.75,0.5
Oona_Oops_0828_v1,6,3,5.333333333333333,0.5
Qwen3_8b_cccx10,2,1,4.5,0.5
MindGames_Pro_Mafia_Reusable,20,10,4.1,0.5
RLGame-RL-v1,50,25,5.26,0.5
RLGame-M-P-07,2,1,5.0,0.5
RLGame-M-P-04,4,2,5.0,0.5
ratec_tr1,2,1,3.5,0.5
TeamGPT-MG,2,1,5.0,0.5
m5,4,2,5.5,0.5
m1_p1,2,1,7.0,0.5
leepokai,2,1,3.5,0.5
Oona_Oops_0828,6,3,4.666666666666667,0.5
hehe003/qwen-8b,2,1,6.0,0.5
Orca Test 2,2,1,5.0,0.5
jarvis-qwen3-8b-test40,24,12,4.666666666666667,0.5
Chinese Mafia Agent v1.2,2,1,6.5,0.5
OrderOfPhoenix/jarvis_v3,22,11,5.363636363636363,0.5
ZeroR-baseline-Qwen-v1,4,2,4.5,0.5
Bathini T1,2,1,8.5,0.5
jarvis_qwen3_dpo_105,8,4,3.875,0.5
ZeroR-SecretMafia-Efficient-v2-Fixed,2,1,5.5,0.5
Enhanced Google AI Studio Mafia Agent v2,10,5,5.9,0.5
Not-sus Persona,2,1,3.5,0.5
External-Vil,6,3,5.0,0.5
0827t1-gpt5-yt,14,7,3.7857142857142856,0.5
NLPQuy,4,2,3.0,0.5
MGC-test-gpt4o,6,3,5.166666666666667,0.5
meta-llama/llama-4-scout,953,470,5.616998950682056,0.4931794333683106
google/gemini-2.0-flash-001,2835,1395,5.495943562610229,0.49206349206349204
meta-llama/llama-4-maverick,2614,1278,5.374521805661821,0.4889058913542464
google/gemini-2.0-flash-lite-001,2619,1273,5.495227185948836,0.4860633829705995
qwen/qwen-plus,1139,552,5.242317822651449,0.48463564530289727
m5_p5,64,31,5.515625,0.484375
tungsten_001,27,13,5.555555555555555,0.48148148148148145
0823t1-qwen3-8b-v3-ppo-lora-0823-456-yt,76,36,5.302631578947368,0.47368421052631576
stark-2,17,8,5.882352941176471,0.47058823529411764
RLGame-RB-v1,47,22,5.787234042553192,0.46808510638297873
Qwen3_LoRA_ccc,11,5,5.090909090909091,0.45454545454545453
