model_name,total_games,avg_turns,wins,win_rate
0823t1-Qwen3-8B-yt,83,5.27710843373494,0,0.0
Track1_Model_20250924_1830,1,6.0,0,0.0
Track1_Model_20250926_1358,1,5.0,0,0.0
Track1_Model_20250925_1912,1,5.0,0,0.0
Track1_Model_20250925_1537,1,1.0,0,0.0
Track1_Model_20250925_1523,1,5.0,0,0.0
Track1_Model_20250925_1400,1,4.0,0,0.0
Track1_Model_20250925_1245,1,5.0,0,0.0
Track1_Model_20250924_1851,8,4.125,0,0.0
The-Boot,1,6.0,0,0.0
USTCmafia-test3,1,1.0,0,0.0
Tester v0.01,1,5.0,0,0.0
Test_MifiaAgent_llama - Track 1,1,1.0,0,0.0
Test_Human_Player,3,7.0,0,0.0
Test LLM agent-xsss,3,2.6666666666666665,0,0.0
TeamGPT-MG,2,5.0,0,0.0
Team srsk-1729 qwen - Track 1,8,5.0,0,0.0
T1-Qwen-Mini-V2,1,1.0,0,0.0
Trial,2,2.5,0,0.0
USTCmafia-test_noe,1,6.0,0,0.0
RLGame-M-P-01,93,5.333333333333333,0,0.0
ZeroR-Elite-Enhanced-v2,1,4.0,0,0.0
ZeroR-SecretMafia-v3,5,4.6,0,0.0
ZeroR-SecretMafia-v2-test,3,6.0,0,0.0
ZeroR-SecretMafia-v2,82,5.158536585365853,0,0.0
ZeroR-SecretMafia-Efficient-v4,15,6.866666666666666,0,0.0
ZeroR-SecretMafia-Efficient-v2-Fixed,2,5.5,0,0.0
ZeroR-SecretMafia-Efficient-v2,54,5.037037037037037,0,0.0
ZeroR-SecretMafia-Efficient,18,5.444444444444445,0,0.0
Vito-k2,1,5.0,0,0.0
V1-GPT4o - Track 1,1,5.0,0,0.0
Vito-ds_v31,5,5.6,0,0.0
Vito-db_1_6,13,3.8461538461538463,0,0.0
Vito-7,38,4.157894736842105,0,0.0
Vito-1.3,19,3.210526315789474,0,0.0
Vito-1.2,10,4.4,0,0.0
Vito-1.1,9,2.7777777777777777,0,0.0
Vito-1.0,18,4.277777777777778,0,0.0
T1-Qwen-Mini-Complex-V4,1,5.0,0,0.0
T1-Qwen-Mini-Complex-V3,1,15.0,0,0.0
T1-Qwen-Mini-Complex-V2,1,5.0,0,0.0
RLGame-finetune-v2,21,5.9523809523809526,0,0.0
RLGame-ts-v3,16,3.75,0,0.0
RLGame-ts-v2,21,3.619047619047619,0,0.0
RLGame-ts-v1,58,4.0344827586206895,0,0.0
RLGame-gpt-oss-20b,1,8.0,0,0.0
RLGame-gd,25,5.56,0,0.0
RLGame-ft,23,5.521739130434782,0,0.0
RLGame-finetune-v3,3,7.666666666666667,0,0.0
RLGame-finetune,6,5.833333333333333,0,0.0
T1-New-Gemini-Akash-V1,7,5.0,0,0.0
RLGame-RL-v1,50,5.26,0,0.0
RLGame-RB-v1,47,5.787234042553192,0,0.0
RLGame-M-P-07,2,5.0,0,0.0
RLGame-M-P-06,9,5.222222222222222,0,0.0
RLGame-M-P-05,1,2.0,0,0.0
RLGame-M-P-04,4,5.0,0,0.0
RLGame-M-P-03,23,4.869565217391305,0,0.0
RLGame-ts-v4,6,4.833333333333333,0,0.0
RLGame-ts-v5,14,4.928571428571429,0,0.0
RLGame-ts-v6,14,5.428571428571429,0,0.0
Rak.io - Track1 - v1 - LLAMA,1,2.0,0,0.0
T1-Improved-Gemini-Akash-V1,4,4.5,0,0.0
T1-Baseline-Qwen-Better-Akash-V3,1,5.0,0,0.0
T1-Baseline-Qwen-Akash-V2,1,5.0,0,0.0
T1-Base-Gemini-Complex-Akash-V1,4,5.25,0,0.0
T1-Base-Gemini-Akash-V2,68,5.661764705882353,0,0.0
